Timestamp (ms),Date,Hour (h),Minute (min),Second (s),Analog 1 (V),Analog 2 (V),Analog 3 (V),Analog 4 (V),Accel X (g),Accel Y (g),Accel Z (g),Intake Air Temp (°F),Coolant Temp (°F),Economy (l/100km),Econ avg 1 (l/100km),Econ avg 2 (l/100km),Trip 1 (km),Trip 2 (km),Fuel usage (l/h),Engine Speed (RPM),Engine Load (mg/str),Mass Airflow (kg/h),MAF Voltage (V),Knock Current (°CRK),Vanos (°CRK),TPS (%),Ignition Angle (°CRK),Fuel Inj (ms),Speed (mph),IACV (%),Lambda Int 1 (%),Lambda Int 2 (%),Lambda 1 (V),Lambda 2 (V),Battery Voltage (V),WBO (AFR),Oil Temp (°F),Oil Pressure (PSI),Brake Pressure (%),GPS Speed (km/h),GPS North (Angle),GPS Altitude (m),GPS Latitude (°),GPS Longitude (°),
0,250209,19,36,17,2.399,0.500,0.558,3.155,0.164,-0.064,0.052,87,184,99.00,98.24,98.24,511.23,511.26,23.78,4250,146.58,104.75,2.42,0.00,38.95,16,35.33,3.30,52,0,-2.38,-7.47,3.47,1.52,13.84,14.44,204,68,0,92.40,328.79,159.000000,30.135929,-97.636612,
16,250209,19,36,17,2.374,0.534,0.593,3.155,0.164,-0.064,0.052,87,184,99.00,98.24,98.24,511.23,511.26,10.52,4250,146.58,104.75,2.42,0.00,38.95,16,35.33,3.30,52,0,-2.38,-7.47,3.47,1.52,13.84,14.52,204,68,0,92.97,328.58,159.000000,30.135948,-97.636627,
92,250209,19,36,17,2.364,0.487,0.575,3.155,0.224,-0.044,-0.036,87,184,99.00,98.24,98.24,511.23,511.26,10.52,4252,127.68,92.75,2.28,0.00,39.32,14,38.69,2.88,52,0,-1.37,-8.49,4.22,2.24,13.94,14.59,204,68,1,93.06,328.26,158.899994,30.135967,-97.636642,
159,250209,19,36,17,2.348,0.522,0.594,3.155,0.224,-0.104,0.004,85,184,99.00,98.24,98.24,511.23,511.26,9.20,4221,100.51,55.00,1.76,0.00,39.32,0,40.56,2.13,57,0,-0.46,-5.80,4.78,4.55,13.94,14.47,204,69,1,93.08,328.11,158.899994,30.135988,-97.636658,
236,250209,19,36,17,2.380,0.521,0.587,3.155,0.180,-0.092,-0.172,85,184,99.00,98.24,98.24,511.23,511.26,6.75,4209,78.06,42.75,1.56,0.00,39.32,0,40.56,1.63,57,0,0.22,-5.09,4.80,4.74,13.84,14.48,204,68,0,93.27,327.59,158.800003,30.136007,-97.636673,
312,250209,19,36,17,2.324,0.516,0.579,3.155,0.164,0.036,-0.080,85,184,99.00,98.24,98.24,511.23,511.26,5.16,4234,65.98,43.50,1.58,0.00,39.32,0,38.32,1.44,57,0,0.87,-4.45,4.80,4.74,13.84,14.53,204,68,0,93.27,327.59,158.800003,30.136007,-97.636673,
379,250209,19,36,17,2.397,0.791,0.587,3.155,0.172,0.088,-0.020,85,184,99.00,98.24,98.24,511.23,511.27,4.58,4244,60.65,41.00,1.52,0.00,39.32,0,35.33,1.37,57,0,0.01,-3.83,1.85,2.23,13.23,14.46,204,68,0,92.93,327.33,158.699997,30.136026,-97.636688,
453,250209,19,36,17,2.340,0.916,0.578,3.155,0.160,-0.028,-0.124,85,184,99.00,98.24,98.24,511.23,511.27,4.35,4244,60.65,41.00,1.52,0.00,39.32,0,35.33,1.37,57,0,0.01,-3.83,1.85,2.23,13.23,14.48,204,69,5,92.77,326.93,158.699997,30.136047,-97.636703,
536,250209,19,36,17,2.351,1.069,0.577,3.155,0.156,-0.124,-0.280,85,184,99.00,98.24,98.24,511.23,511.27,4.40,4181,50.69,38.25,1.46,0.00,39.32,0,31.23,1.40,57,0,-0.00,-0.00,1.60,3.85,13.74,14.47,204,68,10,92.45,326.55,158.600006,30.136066,-97.636711,
613,250209,19,36,17,2.285,1.072,0.590,3.155,0.184,-0.120,-0.424,85,184,99.00,98.24,98.24,511.24,511.27,4.37,4147,50.76,38.25,1.46,0.00,39.32,0,31.23,1.40,57,0,-0.00,-0.00,1.60,3.85,13.74,14.45,204,67,14,92.45,326.55,158.600006,30.136066,-97.636711,
692,250209,19,36,17,2.380,1.073,0.575,3.155,0.112,-0.136,-0.584,85,184,99.00,98.24,98.24,511.24,511.27,4.32,4086,50.48,37.50,1.44,0.00,39.32,0,30.86,1.41,57,0,-0.00,-0.00,4.76,4.59,13.64,14.46,204,67,15,92.17,326.29,158.500000,30.136086,-97.636726,
773,250209,19,36,17,2.321,0.893,0.588,3.155,0.120,-0.044,-0.512,85,184,99.00,98.24,98.24,511.24,511.27,4.25,4023,50.17,36.50,1.42,0.00,39.32,0,30.86,1.41,57,0,-0.00,-0.00,4.78,4.70,13.64,14.30,203,66,14,90.77,326.04,158.399994,30.136105,-97.636742,
853,250209,19,36,17,2.278,0.775,0.586,3.155,0.096,-0.044,-0.480,85,184,99.00,98.24,98.24,511.24,511.27,4.23,3985,50.30,36.25,1.42,0.00,39.32,0,30.48,1.42,57,0,-0.00,-0.00,4.78,4.76,13.74,14.35,203,66,10,89.32,325.64,158.300003,30.136122,-97.636757,
936,250209,19,36,17,2.313,0.649,0.577,3.155,0.112,-0.024,-0.256,85,184,99.00,98.24,98.24,511.24,511.27,4.24,3935,51.05,36.50,1.41,0.00,39.32,0,30.86,1.44,57,0,-0.00,-0.00,4.80,4.78,13.74,14.32,203,66,7,87.60,325.29,158.199997,30.136141,-97.636772,
1012,250209,19,36,17,2.269,0.612,0.578,3.155,0.112,-0.024,-0.256,85,184,99.00,98.24,98.24,511.24,511.28,4.21,3895,51.30,36.50,1.42,0.00,37.45,0,31.23,1.44,57,0,-0.00,-0.00,4.80,4.78,13.74,14.37,203,65,6,87.60,325.29,158.199997,30.136141,-97.636772,
1092,250209,19,36,17,2.352,0.534,0.564,3.155,0.176,0.040,-0.244,85,184,99.00,98.24,98.24,511.24,511.28,4.11,3885,49.54,34.75,1.41,0.00,35.58,0,30.48,1.41,57,0,-0.00,-0.00,4.80,4.80,13.74,14.49,203,66,2,86.54,324.98,158.100006,30.136158,-97.636787,
1173,250209,19,36,17,2.401,0.503,0.588,3.155,0.276,0.008,-0.312,85,184,99.00,98.24,98.24,511.25,511.28,4.15,3864,50.63,35.50,1.41,0.00,32.96,0,30.86,1.43,57,0,-0.00,-0.00,4.80,4.78,13.74,14.43,203,67,0,85.41,324.41,158.100006,30.136175,-97.636803,
1253,250209,19,36,17,2.390,0.495,0.594,3.155,0.276,-0.040,-0.164,87,184,99.00,98.24,98.24,511.25,511.28,4.10,3859,49.94,34.75,1.39,0.00,31.08,0,30.48,1.42,55,0,-0.00,-0.00,4.80,4.80,13.74,14.49,203,67,0,84.62,323.92,158.000000,30.136192,-97.636818,
1336,250209,19,36,17,2.335,0.534,0.590,3.155,0.232,-0.028,-0.112,87,184,99.00,98.24,98.24,511.25,511.28,4.07,3839,49.77,34.75,1.41,0.00,29.21,0,30.11,1.42,55,0,-0.00,-0.00,4.80,4.80,13.94,14.28,203,66,1,84.21,323.46,158.000000,30.136209,-97.636833,
1413,250209,19,36,17,2.383,0.506,0.579,3.155,0.212,0.016,-0.060,87,184,99.00,98.24,98.24,511.25,511.28,4.09,3815,50.69,35.25,1.39,0.00,27.34,0,30.48,1.43,55,0,-0.00,-0.00,4.80,4.80,13.74,14.35,203,66,0,84.21,323.46,158.000000,30.136209,-97.636833,
1492,250209,19,36,17,2.353,0.508,0.578,3.155,0.252,-0.036,-0.108,87,184,99.00,98.24,98.24,511.25,511.28,4.00,3810,48.95,34.00,1.37,0.00,24.34,0,29.74,1.40,55,0,-0.00,-0.00,4.80,4.80,13.84,14.45,203,66,1,83.91,322.75,157.899994,30.136225,-97.636848,
1572,250209,19,36,17,2.316,0.556,0.591,3.155,0.352,-0.016,-0.108,87,184,99.00,98.24,98.24,511.25,511.28,3.99,3787,49.37,34.00,1.37,0.00,21.72,0,29.37,1.40,55,0,-0.00,-0.00,4.80,4.80,13.94,14.48,203,67,1,83.47,322.24,157.899994,30.136242,-97.636864,
1653,250209,19,36,18,2.287,0.473,0.572,3.155,0.292,-0.048,-0.152,87,184,99.00,98.24,98.24,511.25,511.29,4.00,3783,49.43,34.00,1.35,0.00,19.85,0,28.99,1.41,55,0,-0.00,-0.00,4.80,4.80,13.94,14.44,203,67,1,83.03,321.52,157.899994,30.136259,-97.636879,
1736,250209,19,36,18,2.353,0.560,0.587,3.155,0.256,0.040,-0.152,88,184,99.00,98.24,98.24,511.25,511.29,3.95,3761,49.06,33.50,1.37,0.00,16.85,0,28.99,1.40,55,0,-0.00,-0.00,4.80,4.80,13.84,14.43,203,66,1,82.86,320.82,157.800003,30.136274,-97.636894,
1812,250209,19,36,18,2.199,0.719,0.580,3.155,0.304,0.080,-0.092,88,184,99.00,98.24,98.24,511.25,511.29,4.01,3754,50.48,34.25,1.35,0.00,15.35,0,29.37,1.43,55,0,-0.00,-0.00,4.80,4.80,13.94,14.39,203,66,1,82.86,320.82,157.800003,30.136274,-97.636894,
1892,250209,19,36,18,2.209,0.751,0.564,3.155,0.324,-0.028,-0.104,88,184,99.00,98.24,98.24,511.26,511.29,3.89,3585,51.77,34.25,1.35,0.00,14.98,0,29.37,1.45,55,0,-0.00,-0.00,4.80,4.80,13.84,14.11,203,62,5,82.25,320.04,157.800003,30.136290,-97.636909,
1972,250209,19,36,18,2.129,0.807,0.590,3.155,0.448,-0.120,-0.248,88,184,99.00,98.24,98.24,511.26,511.29,3.76,3252,56.62,34.00,1.37,0.00,14.23,0,25.64,1.54,55,0,-0.00,-0.00,4.80,4.80,13.64,14.22,203,62,6,81.99,319.44,157.800003,30.136305,-97.636925,
2052,250209,19,36,18,2.090,0.976,0.563,3.155,0.396,0.016,-0.188,88,184,99.00,98.24,98.24,511.26,511.29,3.52,2940,59.41,31.75,1.31,0.00,12.36,0,20.79,1.60,55,0,-0.00,-0.00,4.80,4.80,13.84,14.03,203,61,7,81.95,318.60,157.699997,30.136320,-97.636940,
2136,250209,19,36,18,2.038,0.861,0.579,3.155,0.428,-0.160,-0.320,88,184,99.00,98.24,98.24,511.26,511.29,4.66,2639,63.61,31.25,1.33,0.00,12.73,4,23.02,2.35,55,0,-0.00,-0.00,4.80,4.80,13.84,13.84,203,57,10,80.65,317.32,157.699997,30.136335,-97.636955,
2212,250209,19,36,18,2.016,0.854,0.586,3.155,0.508,-0.080,-0.288,88,184,99.00,98.24,98.24,511.26,511.29,5.24,2511,88.01,41.75,1.58,0.00,13.11,9,26.01,2.78,51,0,-0.00,-0.00,4.80,4.80,13.84,13.81,203,55,10,80.65,317.32,157.699997,30.136335,-97.636955,
2292,250209,19,36,18,2.167,0.695,0.579,3.155,0.376,-0.092,-0.400,88,184,99.00,98.24,98.24,511.26,511.29,9.00,2503,143.35,69.50,2.05,0.00,12.73,17,28.99,4.80,51,0,3.34,3.29,4.82,4.80,13.74,13.91,204,55,10,79.91,316.34,157.699997,30.136351,-97.636971,
2373,250209,19,36,18,2.336,0.513,0.575,3.155,0.372,0.032,-0.204,88,184,99.00,98.24,98.24,511.26,511.30,9.89,2635,166.61,79.50,2.17,0.00,12.73,17,31.60,5.00,51,0,4.16,4.10,4.82,4.80,13.74,14.42,204,62,4,79.14,315.38,157.600006,30.136364,-97.636986,
2453,250209,19,36,18,2.509,0.522,0.580,3.155,0.284,-0.020,-0.148,88,184,99.00,98.24,98.24,511.26,511.30,9.96,2868,157.65,81.00,2.17,0.00,12.73,17,31.98,4.63,51,0,5.00,4.94,4.80,4.76,13.64,14.58,204,67,1,78.12,314.58,157.600006,30.136377,-97.637001,
2536,250209,19,36,18,2.570,0.572,0.576,3.155,0.280,-0.080,-0.212,88,184,99.00,98.24,98.24,511.27,511.30,6.76,3084,126.04,50.50,1.62,0.00,12.36,0,33.84,2.92,51,0,3.51,3.85,1.76,1.62,13.74,14.68,204,71,1,77.32,313.33,157.500000,30.136391,-97.637016,
2612,250209,19,36,18,2.701,0.495,0.583,3.155,0.252,-0.016,-0.280,88,184,99.00,98.24,98.24,511.27,511.30,5.22,3590,87.97,33.75,1.39,0.00,11.98,0,34.96,1.94,51,0,2.60,2.89,0.82,1.05,13.74,15.15,204,78,1,77.32,313.33,157.500000,30.136391,-97.637016,
2692,250209,19,36,18,2.647,0.564,0.580,3.155,0.256,-0.076,-0.264,89,184,99.00,98.24,98.24,511.27,511.30,5.22,4125,70.64,36.50,1.42,0.00,14.23,0,37.94,1.63,51,0,2.02,2.32,1.17,1.29,13.74,14.98,204,80,0,77.06,312.69,157.500000,30.136404,-97.637032,
2759,250209,19,36,19,2.764,0.659,0.590,3.155,0.256,-0.076,-0.264,89,184,99.00,98.24,98.24,511.27,511.30,5.06,4562,57.83,37.50,1.44,0.00,13.86,0,36.45,1.44,51,0,1.35,1.67,1.85,2.17,13.74,14.96,204,79,1,75.97,312.17,157.500000,30.136415,-97.637047,
2836,250209,19,36,19,2.582,0.647,0.580,3.155,0.240,-0.148,-0.352,89,184,99.00,98.24,98.24,511.27,511.30,4.91,5099,42.67,39.75,1.50,0.00,15.73,0,33.47,1.28,51,0,-0.00,-0.00,2.67,3.40,13.74,15.21,204,80,3,75.08,311.36,157.399994,30.136429,-97.637062,
2912,250209,19,36,19,2.380,0.612,0.578,3.155,0.216,-0.108,-0.260,89,184,99.00,98.24,98.24,511.27,511.30,4.90,4985,47.12,43.00,1.58,0.00,17.60,0,34.96,1.36,51,0,-0.00,-0.00,4.70,4.47,13.84,14.69,204,75,4,75.08,311.36,157.399994,30.136429,-97.637062,
2979,250209,19,36,19,2.550,0.586,0.584,3.155,0.128,-0.064,-0.184,89,184,99.00,98.24,98.24,511.27,511.30,5.07,4932,51.11,45.75,1.62,0.00,19.47,0,36.08,1.43,51,0,-0.00,-0.00,4.78,4.68,13.74,14.79,204,72,3,74.08,310.93,157.399994,30.136440,-97.637085,
3052,250209,19,36,19,2.470,0.591,0.590,3.155,0.244,-0.016,-0.228,89,184,99.00,98.24,98.24,511.27,511.31,5.27,4932,51.11,45.75,1.62,0.00,19.47,0,36.08,1.43,51,0,-0.00,-0.00,4.78,4.68,13.74,14.70,204,73,2,73.14,310.41,157.399994,30.136452,-97.637100,
3136,250209,19,36,19,2.500,0.647,0.577,3.155,0.192,-0.072,-0.240,89,184,99.00,98.24,98.24,511.27,511.31,5.16,4915,49.60,44.50,1.58,0.00,21.35,0,35.71,1.40,51,0,-0.00,-0.00,4.80,4.74,13.74,14.67,204,72,2,72.43,309.80,157.399994,30.136463,-97.637115,
3212,250209,19,36,19,2.436,0.679,0.578,3.155,0.224,0.028,-0.224,89,184,99.00,98.24,98.24,511.28,511.31,5.18,4862,50.88,44.50,1.60,0.00,23.22,0,35.71,1.42,46,0,-0.00,-0.00,4.80,4.78,13.74,14.63,204,72,5,72.43,309.80,157.399994,30.136463,-97.637115,
